"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"1","A84002","NE65 7UW",5988
"2","A84005","NE22 6JX",12170
"3","A84006","NE66 2NL",18873
"4","A84007","NE20 9SD",10530
"5","A84008","NE70 7ER",4477
"6","A84009","NE24 1HD",26641
"7","A84011","NE20 9SD",8060
"8","A84013","NE22 7DU",6232
"9","A84014","NE24 1DX",12725
"10","A84016","NE42 5PW",6932
"11","A84018","NE45 5LG",7007
"12","A84020","NE62 5RA",8051
"13","A84022","NE65 0HD",11959
"14","A84024","NE46 1QJ",10045
"15","A84025","NE23 6QN",4989
"16","A84026","TD15 1LL",8949
"17","A84027","NE48 2HE",3417
"18","A84028","NE63 0NG",18925
"19","A84029","NE61 5LX",2706
"20","A84030","NE23 6US",9736
"21","A84031","NE61 1JX",10104
"22","A84032","NE71 6BL",2372
"23","A84033","NE46 1QJ",5893
"24","A84034","NE49 9AP",5589
"25","A84035","NE42 5DQ",6073
"26","A84036","NE61 1BJ",51871
"27","A84037","NE23 7EF",6026
"28","A84038","NE23 6QN",6932
"29","A84039","NE61 1JX",5976
"30","A84040","NE46 4BU",3665
"31","A84042","NE61 4EG",2131
"32","A84044","TD15 2HB",7231
"33","A84045","NE47 6LA",5409
"34","A84047","NE43 7LL",5400
"35","A84604","NE71 6BL",2291
"36","A84609","NE65 9PR",1730
"37","A84614","NE42 5HR",1957
"38","A84619","NE25 0BW",3932
"39","A88001","NE31 1NU",3573
"40","A88002","NE33 4QY",17281
"41","A88003","NE34 6RE",14145
"42","A88004","NE32 5SE",9269
"43","A88005","NE34 9BP",4497
"44","A88006","NE34 0BX",7895
"45","A88007","NE33 4DX",7813
"46","A88008","NE33 5DU",6491
"47","A88009","NE35 9AN",6389
"48","A88010","NE32 5AG",2999
"49","A88012","NE31 2SP",6426
"50","A88013","NE34 8PS",19508
"51","A88014","NE33 4JP",2797
"52","A88015","NE33 5DU",6907
"53","A88016","NE35 9AN",8109
"54","A88022","NE31 1NU",10646
"55","A88023","SR6 7EE",5320
"56","A88025","NE32 3UX",4773
"57","A88601","NE33 4EG",3900
"58","A88608","NE33 3ET",5892
"59","A88613","NE32 3UX",4083
"60","A89001","SR2 8AD",13422
"61","A89002","SR1 2HJ",6582
"62","A89004","DH5 9EZ",11588
