"Postcode_District","Count.x","Count.y"
"AL1",3,39038
"AL10",3,38933
"AL2",3,24211
"AL3",3,29620
"AL5",3,31674
"AL6",1,12336
"AL7",3,36930
"AL8",1,13596
"AL9",1,11706
"B1",1,10028
"B10",7,28298
"B11",9,47947
"B12",7,21832
"B13",4,38683
"B14",6,43289
"B15",2,20567
"B16",4,25705
"B17",4,27112
"B18",5,17580
"B19",5,24762
"B2",1,501
"B20",3,37142
"B21",6,30467
"B23",5,48328
"B24",3,29757
"B25",2,18043
"B26",8,34601
"B27",3,26620
"B28",2,32624
"B29",7,46161
"B30",4,29603
"B31",7,58045
"B32",4,39717
"B33",4,37615
"B34",3,20525
"B35",2,9897
"B36",6,36884
"B37",3,37674
"B38",4,21117
"B4",1,6979
"B42",2,25081
"B43",4,30210
"B44",7,37742
"B45",5,32452
"B46",2,12796
"B47",2,10163
"B49",2,10286
"B5",1,13122
"B50",1,6979
"B6",4,20823
"B60",1,27871
"B61",4,26392
"B62",3,25549
"B63",4,37145
"B64",3,18504
"B65",2,24867
"B66",6,26576
"B67",3,32610
"B68",6,33642
"B69",3,31817
"B7",3,9930
"B70",11,34058
"B71",2,33381
"B72",2,9798
"B74",1,32473
"B75",1,27587
"B76",1,21306
"B77",4,57209
"B78",2,24797
"B79",6,24396
"B8",13,46609
"B80",1,7271
"B9",4,27314
"B90",3,49616
"B91",1,33843
"B92",4,37070
"B93",2,20066
"B94",2,7680
"B95",1,6355
"B96",1,5290
"B97",7,35082
"B98",1,50297
"BA1",5,42248
"BA10",1,3674
"BA11",2,35288
"BA12",2,29448
"BA13",1,21944
"BA14",2,52809
"BA15",1,14068
"BA16",1,13966
"BA2",9,80404
"BA20",3,11894
"BA21",2,36198
"BA22",2,18988
"BA3",6,37449
"BA4",2,18468
"BA5",2,19145
"BA6",2,13323
"BA7",1,3919
"BA9",1,8654
"BB1",12,70613
"BB10",3,41309
"BB11",5,25043
"BB12",3,36252
"BB18",2,17251
"BB2",8,62971
"BB3",4,34084
"BB4",7,42344
"BB5",10,62932
"BB6",1,14868
"BB7",4,35630
"BB8",2,23127
"BB9",7,49959
"BD1",1,5960
"BD10",3,28116
"BD11",1,11584
"BD12",2,16899
"BD13",2,26707
"BD14",1,9010
"BD15",1,16973
"BD16",3,25425
"BD17",1,18581
"BD18",2,27792
"BD19",3,22589
"BD2",5,31563
"BD21",5,27003
"BD23",1,30122
"BD24",1,5269
"BD3",7,36000
"BD4",3,32572
"BD5",3,32058
"BD6",2,31088
"BD7",6,36192
"BD8",10,34150
"BD9",2,31539
"BH1",2,23696
"BH10",2,20924
"BH11",1,20871
"BH12",2,36169
"BH14",2,25208
"BH15",4,35656
"BH17",2,23043
"BH18",2,11940
"BH19",1,11168
"BH20",5,20325
"BH21",4,42651
"BH22",4,27642
"BH23",6,55303
"BH24",2,24892
"BH25",1,25637
"BH31",1,13654
"BH4",1,9624
"BH5",1,11263
"BH6",3,23203
"BH7",1,11710
"BH8",2,32124
"BH9",4,32568
"BL0",2,17308
"BL1",16,69352
"BL2",5,47216
"BL3",18,71883
"BL4",4,35440
"BL5",2,27465
"BL6",2,31311
"BL7",2,15174
"BL8",3,36145
"BL9",9,52307
"BN1",15,84834
"BN10",1,19916
"BN11",4,34441
"BN12",2,22675
"BN14",3,31088
"BN15",3,28220
"BN16",3,29858
"BN17",2,33161
"BN18",2,14259
"BN2",9,94305
"BN21",4,26270
"BN22",4,33589
"BN23",1,28609
"BN24",1,10644
"BN25",2,23959
"BN26",2,13160
"BN27",4,32317
"BN3",5,80963
"BN41",4,21373
"BN43",1,24263
"BN44",1,10012
"BN5",1,8038
"BN6",1,19203
"BN7",1,20330
"BN8",1,16084
"BN9",2,13906
"BR1",10,60642
"BR2",4,49627
"BR3",7,49899
"BR4",3,19761
"BR5",8,48738
"BR6",7,48041
"BR7",2,18796
"BR8",2,23730
"BS1",1,18751
"BS10",3,30605
"BS11",1,19089
"BS13",4,32398
"BS14",2,30930
"BS15",3,49775
"BS16",6,91268
"BS2",3,19401
"BS20",3,32907
"BS21",1,23557
"BS22",2,38031
"BS23",4,35965
"BS24",1,24816
"BS25",1,6644
"BS26",1,4941
"BS27",1,7499
"BS3",2,41231
"BS30",3,30085
"BS31",3,24038
"BS32",2,24755
"BS34",3,36399
"BS35",4,24401
"BS36",1,16623
"BS37",4,40910
"BS39",1,17349
"BS4",6,51717
"BS40",3,13753
"BS48",1,23524
"BS5",5,57433
"BS6",3,33985
"BS7",3,44446
"BS8",2,27237
"BS9",4,33370
"CA1",5,25032
"CA10",3,14421
"CA11",3,23408
"CA12",1,7451
"CA13",1,15240
"CA14",2,35870
"CA15",1,16133
"CA16",1,6407
"CA17",1,4926
"CA2",1,40609
"CA20",1,3171
"CA22",2,8710
"CA28",3,27851
"CA4",1,9702
"CA5",1,7230
"CA6",1,9186
"CA7",5,22745
"CA8",1,10099
"CA9",1,2081
"CB1",6,53549
"CB10",1,15142
"CB11",2,19042
"CB2",4,29687
"CB22",2,25778
"CB23",5,36052
"CB24",6,36901
"CB25",3,19054
"CB3",2,18818
"CB4",3,44345
"CB5",2,13530
"CB6",4,39737
"CB7",2,28702
"CB8",4,34600
"CB9",2,33005
"CH1",8,32962
"CH2",3,35674
"CH3",2,36541
"CH4",2,34818
"CH41",7,19607
"CH42",3,32616
"CH43",5,37830
"CH44",4,29347
"CH45",5,30179
"CH46",6,25286
"CH47",1,10819
"CH48",1,14930
"CH49",5,29568
"CH60",1,13052
"CH62",4,30310
"CH63",5,29359
"CH64",3,19185
"CH65",4,30570
"CH66",2,35918
"CM0",3,17900
"CM1",5,69427
"CM11",1,19059
"CM12",5,20661
"CM13",1,25357
"CM14",1,21391
"CM15",5,23950
"CM16",2,23929
"CM17",2,25906
"CM18",3,26013
"CM2",5,61042
"CM20",3,25928
"CM21",2,11388
"CM22",2,16134
"CM23",3,43855
"CM24",1,8715
"CM3",7,56126
"CM4",2,10413
"CM5",1,11784
"CM6",3,29985
"CM7",5,50973
"CM8",5,35665
"CM9",3,35361
"CO1",2,18035
"CO10",5,50311
"CO11",2,13965
"CO12",3,23460
"CO13",1,12827
"CO14",1,7178
"CO15",6,45001
"CO16",1,26562
"CO2",2,40911
"CO3",3,32840
"CO4",4,53273
"CO5",4,29501
"CO6",2,28977
"CO7",5,35021
"CO9",2,27821
"CR0",18,170304
"CR2",7,50362
"CR3",2,31017
"CR4",7,64887
"CR5",2,31963
"CR6",2,10322
"CR7",11,46951
"CR8",2,33370
"CT1",3,32129
"CT10",3,25161
"CT11",3,29972
"CT12",3,19072
"CT13",1,8511
"CT14",4,35532
"CT15",1,13361
"CT16",4,21094
"CT17",1,22278
"CT18",2,14893
"CT19",2,28300
"CT2",2,32331
"CT20",4,23772
"CT21",2,17597
"CT3",2,20655
"CT4",3,17187
"CT5",1,33165
"CT6",2,40490
"CT7",1,12129
"CT8",1,7903
"CT9",3,46355
"CV1",10,35938
"CV10",5,56443
"CV11",8,41423
"CV12",5,32098
"CV2",9,68128
"CV21",8,40175
"CV22",1,39801
"CV23",2,27656
"CV3",10,70203
"CV31",4,34419
"CV32",3,32914
"CV33",1,8379
"CV34",4,35670
"CV35",3,26869
"CV36",1,10446
"CV37",4,45606
"CV4",4,37316
"CV47",3,20172
"CV5",4,47083
"CV6",13,94111
"CV7",2,29308
"CV8",3,31272
"CV9",2,22695
"CW1",5,44804
"CW10",2,15609
"CW11",1,27046
"CW12",3,33378
"CW2",1,44045
"CW3",3,9624
"CW4",1,10867
"CW5",4,33192
"CW6",4,13616
"CW7",5,34565
"CW8",3,40289
"CW9",4,35219
"DA1",9,65369
"DA11",4,41402
"DA12",4,49484
"DA13",2,14332
"DA14",2,23138
"DA15",2,29748
"DA16",5,37486
"DA17",1,19413
"DA2",1,24260
"DA3",1,17119
"DA4",2,9428
"DA5",1,21268
"DA6",1,11057
"DA7",4,36100
"DA8",3,38275
"DE1",6,16419
"DE11",5,46765
"DE12",1,22087
"DE13",5,43275
"DE14",5,35361
"DE15",3,25010
"DE21",3,57647
"DE22",3,48751
"DE23",7,66788
"DE24",3,59999
"DE3",2,18647
"DE4",5,34141
"DE45",2,8047
"DE5",2,22493
"DE55",7,54108
"DE56",3,39397
"DE6",4,26620
"DE65",2,24508
"DE7",8,51203
"DE72",1,20451
"DE73",2,20930
"DE74",2,12927
"DE75",3,18655
"DH1",4,52550
"DH2",3,30462
"DH3",4,26738
"DH4",6,35003
"DH5",1,21235
"DH6",5,35115
"DH7",6,42740
"DH8",3,39859
"DH9",4,37251
"DL1",4,47914
"DL10",4,17998
"DL11",2,4847
"DL12",2,12362
"DL13",3,13578
"DL14",4,37650
"DL15",2,23077
"DL16",2,22357
"DL17",2,17980
"DL2",3,18752
"DL3",5,43258
"DL4",1,10100
"DL5",3,29491
"DL7",2,15669
"DL8",3,18653
"DL9",1,14598
"DN1",7,9720
"DN10",2,12593
"DN11",3,29658
"DN12",5,24468
"DN14",4,48962
"DN15",5,37208
"DN16",4,32771
"DN17",2,36776
"DN18",2,12772
"DN2",1,24668
"DN20",3,19197
"DN21",4,39038
"DN22",4,37404
"DN3",2,30173
"DN31",8,9315
"DN32",4,28067
"DN33",1,20383
"DN34",5,19127
"DN35",5,32616
"DN36",1,20537
"DN38",1,2885
"DN4",3,55574
"DN40",2,12435
"DN41",1,6606
"DN5",6,40265
"DN6",3,30952
"DN7",3,24239
"DN8",2,18395
"DN9",1,21660
"DT1",5,21364
"DT10",1,12047
"DT11",2,30237
"DT2",2,25912
"DT3",1,24759
"DT4",5,37399
"DT5",1,13558
"DT6",1,21781
"DT7",1,5568
"DT8",1,6065
"DT9",4,22329
"DY1",8,35229
"DY10",4,37000
"DY11",3,32221
"DY12",1,12113
"DY13",1,22918
"DY14",1,8662
"DY2",5,36281
"DY3",5,34909
"DY4",6,48224
"DY5",6,42705
"DY6",4,28847
"DY8",3,50930
"DY9",6,31648
"E1",8,78961
"E10",7,47365
"E11",11,56041
"E12",7,42759
"E13",11,51756
"E14",9,108214
"E15",6,58450
"E16",4,61514
"E17",15,113053
"E18",5,20625
"E1W",2,14644
"E2",5,50134
"E20",1,9677
"E3",8,67713
"E4",8,66495
"E5",6,49018
"E6",7,84299
"E7",11,53871
"E8",6,42334
"E9",8,40992
"EC1A",1,1282
"EC1R",2,4904
"EC1V",1,15298
"EN1",2,47936
"EN10",2,18059
"EN11",3,22483
"EN2",2,31275
"EN3",3,61338
"EN4",3,27679
"EN5",4,39898
"EN6",4,30308
"EN7",2,21931
"EN8",4,39368
"EN9",2,25310
"EX1",8,27669
"EX10",1,17692
"EX11",1,9577
"EX12",2,9854
"EX13",1,13580
"EX14",1,22222
"EX15",3,23819
"EX16",4,33738
"EX17",2,20542
"EX18",1,3287
"EX2",2,44912
"EX20",1,22305
"EX21",1,4649
"EX22",2,11860
"EX23",2,16658
"EX3",1,4935
"EX31",1,28411
"EX32",3,24250
"EX33",1,10293
"EX34",1,16608
"EX35",1,1632
"EX36",1,10045
"EX38",2,8421
"EX39",4,39461
"EX4",5,60690
"EX5",3,26350
"EX6",2,14975
"EX7",1,14638
"EX8",5,38437
"EX9",1,6970
"FY1",7,34436
"FY2",2,24079
"FY3",3,31870
"FY4",5,44476
"FY5",5,44717
"FY6",3,28814
"FY7",3,26226
"FY8",6,45113
"GL1",6,38885
"GL10",3,15858
"GL11",3,19337
"GL12",2,16184
"GL14",3,15946
"GL15",4,22254
"GL16",2,14198
"GL17",2,11734
"GL18",1,8726
"GL19",1,9685
"GL2",5,61900
"GL20",3,29491
"GL3",3,34869
"GL4",1,48629
"GL5",4,31351
"GL50",9,22178
"GL51",1,53178
"GL52",4,49220
"GL53",1,21142
"GL54",3,24779
"GL55",1,5809
"GL56",2,10048
"GL6",4,24772
"GL7",5,45503
"GU1",3,31811
"GU10",4,24231
"GU11",3,27169
"GU12",1,32491
"GU14",6,57225
"GU15",3,36131
"GU16",2,24136
"GU17",1,11948
"GU18",1,6609
