"","Postcode_District","Count_GP_Surgeries","Total_Registered_Patients","Total_Registered_Practitioners","Count"
"1","AL1",3,45138,69,39038
"2","AL10",3,35540,50,38933
"3","AL2",3,26374,37,24211
"4","AL3",3,45192,80,29620
"5","AL5",3,44543,56,31674
"6","AL6",1,15569,27,12336
"7","AL7",3,46443,59,36930
"8","AL8",1,11317,13,13596
"9","AL9",1,17014,20,11706
"10","B1",1,9045,4,10028
"11","B10",7,39966,49,28298
"12","B11",9,51891,52,47947
"13","B12",7,43682,54,21832
"14","B13",4,27681,39,38683
"15","B14",6,44491,64,43289
"16","B15",2,33356,32,20567
"17","B16",4,36413,51,25705
"18","B17",4,54730,79,27112
"19","B18",5,28598,26,17580
"20","B19",5,46682,61,24762
"21","B2",1,11255,12,501
"22","B20",3,34116,51,37142
"23","B21",6,39229,27,30467
"24","B23",5,34750,47,48328
"25","B24",3,76203,114,29757
"26","B25",2,9538,13,18043
"27","B26",8,40810,55,34601
"28","B27",3,15995,24,26620
"29","B28",2,31901,44,32624
"30","B29",7,49833,76,46161
"31","B30",4,20352,20,29603
"32","B31",7,70982,96,58045
"33","B32",4,31546,56,39717
"34","B33",4,28002,27,37615
"35","B34",3,19987,24,20525
"36","B35",2,13920,14,9897
"37","B36",6,36535,52,36884
"38","B37",3,30641,42,37674
"39","B38",4,28932,43,21117
"40","B4",1,981,1,6979
"41","B42",2,23934,28,25081
"42","B43",4,29519,32,30210
"43","B44",7,43335,71,37742
"44","B45",5,29453,50,32452
"45","B46",2,13786,21,12796
"46","B47",2,12138,25,10163
"47","B49",2,12165,19,10286
"48","B5",1,10738,22,13122
"49","B50",1,13318,13,6979
"50","B6",4,34761,59,20823
"51","B60",1,12963,25,27871
"52","B61",4,42504,74,26392
"53","B62",3,22038,31,25549
"54","B63",4,25796,34,37145
"55","B64",3,14752,24,18504
"56","B65",2,49043,64,24867
"57","B66",6,44170,68,26576
"58","B67",3,14848,14,32610
"59","B68",6,34594,39,33642
"60","B69",3,26762,31,31817
"61","B7",3,14965,34,9930
"62","B70",11,59325,93,34058
"63","B71",2,10693,15,33381
"64","B72",2,28215,33,9798
"65","B74",1,3579,5,32473
"66","B75",1,53155,52,27587
"67","B76",1,15346,15,21306
"68","B77",4,23550,26,57209
"69","B78",2,23249,35,24797
"70","B79",6,67275,89,24396
"71","B8",13,84142,65,46609
"72","B80",1,7662,13,7271
"73","B9",4,36854,44,27314
"74","B90",3,55659,109,49616
"75","B91",1,55715,61,33843
"76","B92",4,28794,41,37070
"77","B93",2,16030,25,20066
"78","B94",2,7693,10,7680
"79","B95",1,6628,11,6355
"80","B96",1,4598,7,5290
"81","B97",7,68571,104,35082
"82","B98",1,17739,18,50297
"83","BA1",5,30137,55,42248
"84","BA10",1,5955,11,3674
"85","BA11",2,40337,83,35288
"86","BA12",2,23082,29,29448
"87","BA13",1,23331,25,21944
"88","BA14",2,50329,62,52809
"89","BA15",1,20240,30,14068
"90","BA16",1,13179,20,13966
"91","BA2",9,102056,143,80404
"92","BA20",3,37719,53,11894
"93","BA21",2,16506,23,36198
"94","BA22",2,10449,17,18988
"95","BA3",6,39879,77,37449
"96","BA4",2,17842,26,18468
"97","BA5",2,19496,29,19145
"98","BA6",2,20132,38,13323
"99","BA7",1,6261,12,3919
"100","BA9",1,9017,16,8654
"101","BB1",12,98836,93,70613
"102","BB10",3,23592,17,41309
"103","BB11",5,58720,53,25043
"104","BB12",3,20356,24,36252
"105","BB18",2,26977,31,17251
"106","BB2",8,57008,65,62971
"107","BB3",4,34759,40,34084
"108","BB4",7,51637,56,42344
"109","BB5",10,61188,65,62932
"110","BB6",1,8256,8,14868
"111","BB7",4,41475,64,35630
"112","BB8",2,16746,18,23127
"113","BB9",7,53804,50,49959
"114","BD1",1,5983,25,5960
"115","BD10",3,26854,54,28116
"116","BD11",1,2707,3,11584
"117","BD12",2,25568,35,16899
"118","BD13",2,17646,49,26707
"119","BD14",1,13373,26,9010
"120","BD15",1,10133,19,16973
"121","BD16",3,24649,39,25425
"122","BD17",1,9239,17,18581
"123","BD18",2,44282,95,27792
"124","BD19",3,25235,27,22589
"125","BD2",5,31489,41,31563
"126","BD21",5,106516,151,27003
"127","BD23",1,13354,29,30122
"128","BD24",1,9545,24,5269
"129","BD3",7,41915,49,36000
"130","BD4",3,31207,36,32572
"131","BD5",3,21478,16,32058
"132","BD6",2,20988,26,31088
"133","BD7",6,56425,81,36192
"134","BD8",10,81254,58,34150
"135","BD9",2,22414,37,31539
"136","BH1",2,28015,59,23696
