"","CODE","NAME","POSTCODE","Number_of_Practitioners","NUMBER_OF_PATIENTS"
"1","A84002","THE ROTHBURY PRACTICE","NE65 7UW",12,5988
"2","A84005","BEDLINGTONSHIRE MED.GROUP","NE22 6JX",17,12170
"3","A84006","ALNWICK MEDICAL GROUP","NE66 2NL",21,18873
"4","A84007","PONTELAND MEDICAL GROUP","NE20 9SD",21,10530
"5","A84008","BELFORD MEDICAL PRACTICE","NE70 7ER",10,4477
"6","A84009","RAILWAY MEDICAL GROUP","NE24 1HD",45,26641
"7","A84011","WHITE MEDICAL GROUP","NE20 9SD",14,8060
"8","A84013","THE GABLES MEDICAL GROUP","NE22 7DU",19,6232
"9","A84014","MARINE MEDICAL GROUP","NE24 1DX",19,12725
"10","A84016","PRUDHOE MEDICAL GROUP","NE42 5PW",15,6932
"11","A84018","CORBRIDGE HEALTH CENTRE","NE45 5LG",13,7007
"12","A84020","GUIDEPOST MEDICAL GROUP","NE62 5RA",20,8051
"13","A84022","COQUET MEDICAL GROUP","NE65 0HD",19,11959
"14","A84024","BURN BRAE MEDICAL GROUP","NE46 1QJ",15,10045
"15","A84025","CRAMLINGTON MEDICAL GROUP","NE23 6QN",17,4989
"16","A84026","WELL CLOSE MEDICAL GROUP","TD15 1LL",18,8949
"17","A84027","BELLINGHAM PRACTICE","NE48 2HE",8,3417
"18","A84028","SEATON PARK MEDICAL GROUP","NE63 0NG",30,18925
"19","A84029","NORTHUMBERLAND HEALTH","NE61 5LX",8,2706
"20","A84030","VILLAGE MEDICAL GROUP","NE23 6US",21,9736
"21","A84031","GREYSTOKE SURGERY","NE61 1JX",15,10104
"22","A84032","CHEVIOT MEDICAL GROUP","NE71 6BL",4,2372
"23","A84033","THE SELE MEDICAL PRACTICE","NE46 1QJ",10,5893
"24","A84034","HALTWHISTLE MEDICAL GROUP","NE49 9AP",14,5589
"25","A84035","RIVERSDALE SURGERY","NE42 5DQ",13,6073
"26","A84036","VALENS MEDICAL PARTNERSHIP","NE61 1BJ",61,51871
"27","A84037","NETHERFIELD HOUSE","NE23 7EF",9,6026
"28","A84038","FORUM FAMILY PRACTICE","NE23 6QN",8,6932
"29","A84039","GAS HOUSE LANE SURGERY","NE61 1JX",12,5976
"30","A84040","HUMSHAUGH & WARK MED GRP","NE46 4BU",11,3665
"31","A84042","SCOTS GAP MEDICAL GROUP","NE61 4EG",6,2131
"32","A84044","UNION BRAE & NORHAM PRAC","TD15 2HB",17,7231
"33","A84045","HAYDON BRIDGE & ALLENDALE MEDICAL PRACT","NE47 6LA",13,5409
"34","A84047","BRANCH END SURGERY","NE43 7LL",9,5400
"35","A84604","WOOLER HEALTH","NE71 6BL",11,2291
"36","A84609","FELTON SURGERY","NE65 9PR",9,1730
"37","A84614","THE ADDERLANE SURGERY","NE42 5HR",3,1957
"38","A84619","ELSDON AVENUE SURGERY","NE25 0BW",6,3932
"39","A88001","VICTORIA MEDICAL CENTRE","NE31 1NU",5,3573
"40","A88002","FARNHAM MEDICAL CTR.","NE33 4QY",16,17281
"41","A88003","MARSDEN MEDICAL GROUP","NE34 6RE",30,14145
"42","A88004","MAYFIELD MEDICAL GROUP","NE32 5SE",11,9269
"43","A88005","WENLOCK ROAD SURGERY","NE34 9BP",4,4497
"44","A88006","TALBOT MEDICAL CENTRE","NE34 0BX",11,7895
"45","A88007","WAWN STREET SURGERY","NE33 4DX",11,7813
"46","A88008","TRINITY MEDICAL CENTRE","NE33 5DU",10,6491
"47","A88009","DR THORNILEY-WALKER & PARTNERS","NE35 9AN",8,6389
"48","A88010","ALBERT ROAD SURGERY","NE32 5AG",8,2999
"49","A88012","ELLISON VIEW SURGERY","NE31 2SP",11,6426
"50","A88013","CENTRAL SURGERY","NE34 8PS",23,19508
"51","A88014","WEST VIEW SURGERY","NE33 4JP",5,2797
"52","A88015","ST GEORGE & RIVERSIDE MEDICAL PRACTICE","NE33 5DU",11,6907
"53","A88016","COLLIERY COURT MEDICAL GROUP","NE35 9AN",12,8109
"54","A88022","THE GLEN MEDICAL GROUP","NE31 1NU",12,10646
"55","A88023","WHITBURN SURGERY","SR6 7EE",6,5320
"56","A88025","THE G.P.SUITE","NE32 3UX",5,4773
"57","A88601","IMEARY MEDICAL GROUP","NE33 4EG",3,3900
"58","A88608","RAVENSWORTH SURGERY","NE33 3ET",6,5892
"59","A88613","EAST WING PRACTICE","NE32 3UX",7,4083
"60","A89001","DEERNESS PARK MEDICAL GROUP","SR2 8AD",28,13422
"61","A89002","RIVERVIEW SURGERY","SR1 2HJ",6,6582
"62","A89004","HETTON GROUP PRACTICE","DH5 9EZ",22,11588
"63","A89005","VILLETTE SURGERY","SR2 8AX",5,5513
"64","A89006","WEARSIDE MEDICAL PRACTICE - PALLION","SR4 7XF",9,7748
"65","A89007","PALLION FAMILY PRACTICE","SR4 7XF",12,10263
"66","A89008","RED HOUSE MEDICAL CENTRE","SR5 5PS",9,5197
"67","A89009","HERRINGTON MEDICAL CENTRE","DH4 4LE",14,9069
"68","A89010","THE STEPHENSON MEDICAL PRACTICE","NE37 2PU",20,12461
"69","A89011","VILLAGE SURGERY PARTNERSHIP","SR3 2AN",12,4457
"70","A89012","GALLERIES MEDICAL PRACTICE","NE38 7NQ",16,10909
"71","A89013","THE NEW CITY MEDICAL GROUP","SR1 2QB",12,5056
"72","A89015","FULWELL MEDICAL CENTRE,","SR6 8DZ",17,9172
"73","A89016","ST BEDE MEDICAL CENTRE","SR6 0QQ",9,8845
"74","A89017","MILLFIELD MEDICAL GROUP","SR4 7AF",16,13831
"75","A89018","ASHBURN MEDICAL CENTRE","SR2 8JG",11,5039
"76","A89019","BRIDGE VIEW MEDICAL GROUP","SR5 2LT",20,14909
"77","A89020","FORGE MEDICAL PRACTICE","SR4 6QE",16,9509
"78","A89021","KEPIER MEDICAL PRACTICE","DH4 5EQ",15,8288
"79","A89022","CONCORD MEDICAL PRACTICE","NE37 2PU",9,5270
"80","A89023","HOUGHTON MEDICAL GROUP,","DH4 4DN",10,7910
"81","A89024","THE BROADWAY MEDICAL PRACTICE","SR3 4HG",11,6153
"82","A89025","SUNDERLAND GP ALLIANCE MEDICAL PRACTICE","NE38 7NQ",21,12351
"83","A89026","NEW WASHINGTON MEDICAL GROUP","NE37 2PU",8,7467
"84","A89027","SPRINGWELL MEDICAL GROUP","SR3 4HG",15,6353
"85","A89028","GRANGEWOOD SURGERY","DH4 4RB",10,7180
"86","A89030","WESTBOURNE MEDICAL GROUP","DH4 4RW",11,6338
"87","A89031","HYLTON MEDICAL GROUP","SR4 7XF",14,5172
"88","A89032","NEW SILKSWORTH MEDICAL PRACTICE","SR3 2AN",17,9874
"89","A89034","PARK LANE PRACTICE","SR2 7BA",3,3964
"90","A89035","SOUTHLANDS MEDICAL GROUP","SR2 0RX",6,8713
"91","A89036","CASTLETOWN MEDICAL CENTRE","SR5 3EX",6,2224
"92","A89040","MONKWEARMOUTH HEALTH CENTRE","SR6 0AB",5,4647
"93","A89041","HAPPY HOUSE SURGERY","SR3 4BY",10,7073
"94","A89614","SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG","SR4 0LS",10,4102
"95","A89616","RICKLETON MEDICAL CENTRE","NE38 9EH",4,2284
"96","A89617","I J HEALTHCARE","NE38 9AB",8,4013
"97","A89623","CHESTER SURGERY","SR4 7TU",4,2738
"98","Y01262","PALLION PRIMARY CARE SERVICES","SR4 7XF",8,23
"99","P81005","LITTLE HARWOOD HEALTH CENTRE","BB1 6PH",13,11816
"100","P81022","WITTON MEDICAL CENTRE","BB2 2SU",11,10523
"101","P81051","DARWEN HEALTHCARE","BB3 1PY",22,12991
"102","P81058","ST GEORGES SURGERY","BB2 3HS",13,9584
"103","P81061","REDLAM SURGERY","BB2 1UW",6,4593
"104","P81125","OAKENHURST MEDICAL PRACTICE","BB2 1AX",9,10100
"105","P81140","DARWEN HEALTHLINK","BB3 1PY",11,15935
"106","P81155","BROWNHILL SURGERY","BB1 9BA",2,5245
"107","P81167","STEPPING STONE PRACTICE","BB1 1XA",3,5625
"108","P81214","LIMEFIELD SURGERY","BB2 6PL",3,4205
"109","P81622","SHIFA SURGERY","BB1 6DY",7,10848
"110","P81633","SPRING-FENISCO HEALTHLINK","BB3 1BZ",5,3254
"111","P81683","OLIVE MEDICAL CENTRE","BB1 7EP",9,7549
"112","P81694","FAMILY PRACTICE","BB2 1AX",6,5266
"113","P81704","BLAKEWATER HEALTHCARE","BB1 9SR",9,11286
"114","P81707","WILLIAM HOPWOOD STREET SURGERY","BB1 1LX",8,5453
"115","P81709","ROMAN ROAD HEALTH CENTRE","BB2 3UY",6,4948
"116","P81721","HOLLINS GROVE SURGERY","BB3 1ET",2,2579
"117","P81724","PRINGLE STREET SURGERY","BB1 1SB",4,2389
"118","P81734","THE CORNERSTONE PRACTICE","BB1 2HR",17,19186
"119","P81771","PRIMROSE BANK MEDICAL CENTRE","BB1 5ER",8,9664
"120","Y02657","BENTHAM ROAD HEALTH CENTRE","BB2 4QD",11,7789
"121","P81004","ELIZABETH STREET SURGERY","FY1 3JG",4,1643
"122","P81016","WATERLOO MEDICAL CENTRE","FY4 3AD",13,12249
"123","P81042","ADELAIDE STREET SURGERY","FY1 4LN",13,13268
"124","P81043","SOUTH KING STREET MEDICAL CENTRE","FY1 4NF",6,6009
"125","P81054","MARTON MEDICAL PRACTICE","FY3 9ES",5,9446
"126","P81063","ST PAULS MEDICAL CENTRE","FY1 2HH",14,11631
"127","P81066","LAYTON MEDICAL CENTRE","FY3 7EN",9,7815
"128","P81072","GLENROYD MEDICAL CENTRE","FY2 0JG",15,14486
"129","P81073","CLEVELEYS GROUP PRACTICE","FY5 3LF",10,12544
"130","P81074","HIGHFIELD SURGERY","FY4 1TJ",19,13526
"131","P81081","ARNOLD MEDICAL CENTRE","FY4 2EF",5,5214
"132","P81092","THE CRESCENT SURGERY","FY5 3LF",8,8132
"133","P81115","BLOOMFIELD MEDICAL CENTRE","FY1 6JW",21,15711
"134","P81159","STONYHILL MEDICAL PRACTICE","FY4 1TJ",9,12706
"135","P81172","NEWTON DRIVE HEALTH CENTRE","FY3 8NX",11,11385
"136","P81681","NORTH SHORE SURGERY","FY2 0JG",12,13769
"137","P81714","ABBEY DALE MEDICAL CENTRE","FY4 5AU",5,5942
"138","Y02157","PIER SCHEME","FY1 6JX",1,1
"139","Y05788","COMPASS MEDICAL PRACTICE","FY1 9NP",17,240
"140","P82001","THE DUNSTAN PARTNERSHIP","BL2 6NT",14,10420
"141","P82002","PIKES LANE 1","BL3 5HP",11,7611
"142","P82003","KILDONAN HOUSE","BL6 5NW",12,15729
"143","P82004","SWAN LANE MEDICAL CENTRE","BL3 6TL",8,9142
"144","P82005","STABLE FOLD SURGERY","BL5 3SF",9,7005
"145","P82006","DR MALHOTRA & PARTNERS","BL6 7AS",6,8101
"146","P82007","KEARSLEY MEDICAL CENTRE","BL4 8EP",24,13538
"147","P82008","STONEHILL MEDICAL CENTRE","BL4 9QZ",26,13853
"148","P82009","ST HELENS ROAD PRACTICE","BL3 3RR",10,6711
"149","P82010","DALEFIELD SURGERY","BL1 4JP",10,7691
"150","P82011","TONGE FOLD HEALTH CENTRE","BL2 6DY",7,6528
"151","P82012","OCTAGON MEDICAL CENTRE","BL1 1SQ",9,6154
"152","P82013","LEVER CHAMBERS 2","BL3 6RN",12,3773
"153","P82014","SPRING HOUSE SURGERY","BL1 6AF",6,6602
"154","P82015","UNSWORTH GROUP PRACTICE","BL5 3UB",24,20438
"155","P82016","HARWOOD MEDICAL CENTRE","BL2 3HQ",11,11705
"156","P82018","THE ALASTAIR ROSS MEDICAL PRACTICE","BL2 6NT",9,7063
"157","P82020","LITTLE LEVER HEALTH CENTRE 1","BL3 1JF",4,4387
"158","P82021","THE OAKS FAMILY PRACTICE","BL1 8UP",16,7314
"159","P82022","DR RIZWAN AND DR AWAN","BL1 3RG",6,4594
"160","P82023","MANDALAY MEDICAL CENTRE","BL1 7LR",14,9210
"161","P82025","BURNSIDE SURGERY","BL1 8TU",8,4828
"162","P82029","HALLIWELL SURGERY 2","BL1 3RG",5,3573
"163","P82030","DEANE MEDICAL CENTRE","BL3 5AH",5,3752
"164","P82031","HEATON MEDICAL CENTRE","BL1 5PU",13,10901
"165","P82033","BRADFORD STREET SURGERY","BL2 1HT",3,2075
"166","P82034","EDGWORTH MEDICAL CENTRE","BL7 9RG",9,3286
"167","P82036","LITTLE LEVER HEALTH CENTRE 2","BL3 1JF",6,2891
"168","P82037","FIG TREE MEDICAL PRACTICE","BL4 9AL",5,4769
"169","P82607","CROMPTON VIEW SURGERY","BL1 8UP",6,5535
"170","P82609","SHANTI MEDICAL CENTRE","BL3 3PH",7,6255
"171","P82613","SPRING VIEW MEDICAL CENTRE","BL3 1HQ",4,5193
"172","P82616","BEEHIVE SURGERY","BL3 2JR",7,3972
"173","P82624","ORIENT HOUSE MEDICAL CENTRE","BL3 5QE",6,3408
"174","P82625","CHARLOTTE STREET SURGERY","BL1 8TU",2,2240
"175","P82626","HALLIWELL SURGERY 3","BL1 3RG",6,4775
"176","P82627","CORNERSTONE SURGERY","BL1 6AH",10,3852
"177","P82629","DR S NASEEF","BL3 5HP",2,2074
"178","P82633","GREAT LEVER ONE","BL3 6RN",4,2433
"179","P82634","WYRESDALE ROAD SURGERY","BL1 4DN",6,4232
