"Postcode_Area","Area_Name","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries","Population_to_Surgeries","Population_to_Practitioners"
"AL","St Albans",266475,287130,411,21,12689.2857142857,648.357664233577
"B","Birmingham",2026571,2242097,2998,270,7505.81851851852,675.974316210807
"BA","Bath",466274,485947,749,45,10361.6444444444,622.52870493992
"BB","Blackburn",516383,553354,584,68,7593.86764705882,884.217465753425
"BD","Bradford",605269,642254,937,65,9311.83076923077,645.964781216649
"BH","Bournemouth",578617,628289,1005,53,10917.3018867925,575.738308457711
"BL","Bolton",403601,450176,592,63,6406.36507936508,681.758445945946
"BN","Brighton",838723,915394,1285,79,10616.746835443,652.702723735409
"BR","Bromley",319234,365823,525,43,7424.04651162791,608.064761904762
"BS","Bristol",1033005,1124497,1951,87,11873.6206896552,529.474628395694
"CA","Carlisle",319675,328698,514,35,9133.57142857143,621.93579766537
"CB","Cambridge",463822,539916,895,48,9662.95833333333,518.23687150838
"CH","Chester",676973,549873,877,71,9534.83098591549,771.919042189282
"CM","Chelmsford",707666,739898,951,70,10109.5142857143,744.128286014721
"CO","Colchester",448089,476483,590,43,10420.6744186047,759.472881355932
"CR","Croydon",439490,458477,660,51,8617.45098039216,665.893939393939
"CT","Canterbury",501887,542001,676,48,10455.9791666667,742.436390532544
"CV","Coventry",899181,975604,1228,109,8249.36697247706,732.232084690554
"CW","Crewe",342254,367057,465,36,9507.05555555555,736.030107526882
"DA","Dartford",469214,489040,528,42,11171.7619047619,888.662878787879
"DE","Derby",774229,851012,1217,84,9217.0119047619,636.178307313065
"DH","Durham",320953,335588,507,36,8915.36111111111,633.043392504931
"DL","Darlington",363985,371423,638,43,8464.76744186047,570.509404388715
"DN","Doncaster",768723,807086,1027,94,8177.90425531915,748.513145082765
"DT","Dorchester",221019,245975,379,24,9209.125,583.163588390501
"DY","Dudley",429559,460251,617,53,8104.88679245283,696.205834683955
"E","East London",1117915,1347640,1671,145,7709.75862068965,669.009575104728
"EC","East Central London",37264,38297,67,4,9316,556.179104477612
"EN","Enfield",365585,301266,412,31,11793.064516129,887.342233009709
"EX","Exeter",599921,626048,1200,64,9373.765625,499.934166666667
"FY","Blackpool",279731,309632,356,34,8227.38235294118,785.761235955056
"GL","Gloucester",653953,678433,1153,73,8958.2602739726,567.175195143105
"GU","Guildford",767867,810008,1288,72,10664.8194444444,596.170031055901
"HA","Harrow",531124,652228,765,79,6723.08860759494,694.279738562092
"HD","Huddersfield",266048,282203,379,44,6046.54545454545,701.973614775726
"HG","Harrogate",141129,150088,264,15,9408.6,534.579545454545
"HP","Hemel Hempstead",533352,558201,827,48,11111.5,644.923821039903
"HR","Hereford",179733,185833,311,17,10572.5294117647,577.91961414791
"HU","Hull",455808,491980,668,48,9496,682.347305389222
"HX","Halifax",163450,176923,201,15,10896.6666666667,813.18407960199
"IG","Ilford",378322,408881,400,50,7566.44,945.805
"IP","Ipswich",629123,640351,939,60,10485.3833333333,669.992545260916
"KT","Kingston upon Thames",561706,631341,1014,61,9208.29508196721,553.950690335306
"L","Liverpool",892424,973936,1391,152,5871.21052631579,641.570093457944
"LA","Lancaster",331902,353573,540,32,10371.9375,614.633333333333
"LE","Leicester",1088272,1176848,1615,133,8182.4962406015,673.852631578947
"LN","Lincoln",318262,321118,426,39,8160.5641025641,747.093896713615
"LS","Leeds",835922,962521,1385,96,8707.52083333333,603.553790613718
"LU","Luton",373762,418751,443,41,9116.14634146341,843.706546275395
"M","Manchester",1271054,1417767,1988,180,7061.41111111111,639.363179074447
"ME","Rochester",664160,686498,856,77,8625.45454545455,775.88785046729
"MK","Milton Keynes",591394,614004,724,51,11595.9607843137,816.842541436464
"N","North London",886396,1170814,1484,126,7034.88888888889,597.301886792453
"NE","Newcastle upon Tyne",1189862,1284124,2176,149,7985.65100671141,546.811580882353
"NG","Nottingham",1222052,1284993,1767,149,8201.69127516778,691.597057159027
"NN","Northampton",742601,798050,1062,68,10920.6029411765,699.247645951036
"NR","Norwich",766553,808123,1308,73,10500.7260273973,586.049694189602
