"Postcode_Area","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries","Area_Name"
"AL",266475,287130,411,21,"St Albans"
"B",2026571,2242097,2998,270,"Birmingham"
"BA",466274,485947,749,45,"Bath"
"BB",516383,553354,584,68,"Blackburn"
"BD",605269,642254,937,65,"Bradford"
"BH",578617,628289,1005,53,"Bournemouth"
"BL",403601,450176,592,63,"Bolton"
"BN",838723,915394,1285,79,"Brighton"
"BR",319234,365823,525,43,"Bromley"
"BS",1033005,1124497,1951,87,"Bristol"
"CA",319675,328698,514,35,"Carlisle"
"CB",463822,539916,895,48,"Cambridge"
"CH",676973,549873,877,71,"Chester"
"CM",707666,739898,951,70,"Chelmsford"
"CO",448089,476483,590,43,"Colchester"
"CR",439490,458477,660,51,"Croydon"
"CT",501887,542001,676,48,"Canterbury"
"CV",899181,975604,1228,109,"Coventry"
"CW",342254,367057,465,36,"Crewe"
"DA",469214,489040,528,42,"Dartford"
"DE",774229,851012,1217,84,"Derby"
"DH",320953,335588,507,36,"Durham"
"DL",363985,371423,638,43,"Darlington"
"DN",768723,807086,1027,94,"Doncaster"
"DT",221019,245975,379,24,"Dorchester"
"DY",429559,460251,617,53,"Dudley"
"E",1117915,1347640,1671,145,"East London"
"EC",37264,38297,67,4,"East Central London"
"EN",365585,301266,412,31,"Enfield"
"EX",599921,626048,1200,64,"Exeter"
"FY",279731,309632,356,34,"Blackpool"
"GL",653953,678433,1153,73,"Gloucester"
"GU",767867,810008,1288,72,"Guildford"
"HA",531124,652228,765,79,"Harrow"
"HD",266048,282203,379,44,"Huddersfield"
"HG",141129,150088,264,15,"Harrogate"
"HP",533352,558201,827,48,"Hemel Hempstead"
"HR",179733,185833,311,17,"Hereford"
"HU",455808,491980,668,48,"Hull"
"HX",163450,176923,201,15,"Halifax"
"IG",378322,408881,400,50,"Ilford"
"IP",629123,640351,939,60,"Ipswich"
"KT",561706,631341,1014,61,"Kingston upon Thames"
"L",892424,973936,1391,152,"Liverpool"
"LA",331902,353573,540,32,"Lancaster"
"LE",1088272,1176848,1615,133,"Leicester"
"LN",318262,321118,426,39,"Lincoln"
"LS",835922,962521,1385,96,"Leeds"
"LU",373762,418751,443,41,"Luton"
"M",1271054,1417767,1988,180,"Manchester"
"ME",664160,686498,856,77,"Rochester"
"MK",591394,614004,724,51,"Milton Keynes"
"N",886396,1170814,1484,126,"North London"
"NE",1189862,1284124,2176,149,"Newcastle upon Tyne"
"NG",1222052,1284993,1767,149,"Nottingham"
"NN",742601,798050,1062,68,"Northampton"
"NR",766553,808123,1308,73,"Norwich"
"NW",574891,695177,948,77,"North West London"
"OL",493584,523048,728,78,"Oldham"
"OX",680610,730414,1167,61,"Oxford"
"PE",972260,1048738,1340,88,"Peterborough"
"PL",566418,581137,881,52,"Plymouth"
"PO",854784,900589,1185,68,"Portsmouth"
"PR",550366,566861,652,66,"Preston"
"RG",860553,925196,1249,70,"Reading"
"RH",583653,613102,939,52,"Redhill"
"RM",583272,628162,643,88,"Romford"
"S",1389622,1480406,2392,172,"Sheffield"
"SE",1075088,1232348,1760,120,"South East London"
"SG",437311,437799,586,37,"Stevenage"
"SK",624922,666230,1030,78,"Stockport"
"SL",405122,445064,645,43,"Slough"
"SM",237911,244589,325,27,"Sutton"
"SN",503724,518216,829,49,"Swindon"
"SO",699993,731475,1134,58,"Southampton"
"SP",258089,231531,405,21,"Salisbury"
"SR",245199,240744,391,33,"Sunderland"
"SS",545242,566841,673,76,"Southend-on-Sea"
"ST",661965,698040,946,85,"Stoke-on-Trent"
"SW",901325,1308697,1841,121,"South West London"
"SY",350587,240700,356,29,"Shrewsbury"
"TA",350087,363850,572,40,"Taunton"
"TD",18022,16180,35,2,"Galashiels"
"TF",236282,248113,285,19,"Telford"
"TN",713871,742070,1084,77,"Tunbridge Wells"
"TQ",299472,313101,520,30,"Torquay"
"TR",319547,346228,646,33,"Truro"
"TS",613960,669905,960,77,"Cleveland"
"TW",542561,585446,677,70,"Twickenham"
"UB",416431,488722,451,70,"Southall"
"W",531401,705451,902,105,"West London"
"WA",642982,684651,902,89,"Warrington"
"WC",30668,117762,177,11,"West Central London"
"WD",282046,320399,432,26,"Watford"
"WF",547784,564413,755,62,"Wakefield"
"WN",316899,337315,427,49,"Wigan"
"WR",312662,322955,483,32,"Worcester"
"WS",472232,492726,619,77,"Walsall"
"WV",417097,428364,548,58,"Wolverhampton"
"YO",582897,599268,949,52,"York"
