"Postcode_District","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries"
"AL1",39038,45138,69,3
"AL10",38933,35540,50,3
"AL2",24211,26374,37,3
"AL3",29620,45192,80,3
"AL5",31674,44543,56,3
"AL6",12336,15569,27,1
"AL7",36930,46443,59,3
"AL8",13596,11317,13,1
"AL9",11706,17014,20,1
"B1",10028,9045,4,1
"B10",28298,39966,49,7
"B11",47947,51891,52,9
"B12",21832,43682,54,7
"B13",38683,27681,39,4
"B14",43289,44491,64,6
"B15",20567,33356,32,2
"B16",25705,36413,51,4
"B17",27112,54730,79,4
"B18",17580,28598,26,5
"B19",24762,46682,61,5
"B2",501,11255,12,1
"B20",37142,34116,51,3
"B21",30467,39229,27,6
"B23",48328,34750,47,5
"B24",29757,76203,114,3
"B25",18043,9538,13,2
"B26",34601,40810,55,8
"B27",26620,15995,24,3
"B28",32624,31901,44,2
"B29",46161,49833,76,7
"B30",29603,20352,20,4
"B31",58045,70982,96,7
"B32",39717,31546,56,4
"B33",37615,28002,27,4
"B34",20525,19987,24,3
"B35",9897,13920,14,2
"B36",36884,36535,52,6
"B37",37674,30641,42,3
"B38",21117,28932,43,4
"B4",6979,981,1,1
"B42",25081,23934,28,2
"B43",30210,29519,32,4
"B44",37742,43335,71,7
"B45",32452,29453,50,5
"B46",12796,13786,21,2
"B47",10163,12138,25,2
"B49",10286,12165,19,2
"B5",13122,10738,22,1
"B50",6979,13318,13,1
"B6",20823,34761,59,4
"B60",27871,12963,25,1
"B61",26392,42504,74,4
"B62",25549,22038,31,3
"B63",37145,25796,34,4
"B64",18504,14752,24,3
"B65",24867,49043,64,2
"B66",26576,44170,68,6
"B67",32610,14848,14,3
"B68",33642,34594,39,6
"B69",31817,26762,31,3
"B7",9930,14965,34,3
"B70",34058,59325,93,11
"B71",33381,10693,15,2
"B72",9798,28215,33,2
"B74",32473,3579,5,1
"B75",27587,53155,52,1
"B76",21306,15346,15,1
"B77",57209,23550,26,4
"B78",24797,23249,35,2
"B79",24396,67275,89,6
"B8",46609,84142,65,13
"B80",7271,7662,13,1
"B9",27314,36854,44,4
"B90",49616,55659,109,3
"B91",33843,55715,61,1
"B92",37070,28794,41,4
"B93",20066,16030,25,2
"B94",7680,7693,10,2
"B95",6355,6628,11,1
"B96",5290,4598,7,1
"B97",35082,68571,104,7
"B98",50297,17739,18,1
"BA1",42248,30137,55,5
"BA10",3674,5955,11,1
"BA11",35288,40337,83,2
"BA12",29448,23082,29,2
"BA13",21944,23331,25,1
"BA14",52809,50329,62,2
"BA15",14068,20240,30,1
"BA16",13966,13179,20,1
"BA2",80404,102056,143,9
"BA20",11894,37719,53,3
"BA21",36198,16506,23,2
"BA22",18988,10449,17,2
"BA3",37449,39879,77,6
"BA4",18468,17842,26,2
"BA5",19145,19496,29,2
"BA6",13323,20132,38,2
"BA7",3919,6261,12,1
"BA9",8654,9017,16,1
"BB1",70613,98836,93,12
"BB10",41309,23592,17,3
"BB11",25043,58720,53,5
"BB12",36252,20356,24,3
"BB18",17251,26977,31,2
"BB2",62971,57008,65,8
"BB3",34084,34759,40,4
"BB4",42344,51637,56,7
"BB5",62932,61188,65,10
"BB6",14868,8256,8,1
"BB7",35630,41475,64,4
"BB8",23127,16746,18,2
"BB9",49959,53804,50,7
"BD1",5960,5983,25,1
"BD10",28116,26854,54,3
"BD11",11584,2707,3,1
"BD12",16899,25568,35,2
"BD13",26707,17646,49,2
"BD14",9010,13373,26,1
"BD15",16973,10133,19,1
"BD16",25425,24649,39,3
"BD17",18581,9239,17,1
"BD18",27792,44282,95,2
"BD19",22589,25235,27,3
"BD2",31563,31489,41,5
"BD21",27003,106516,151,5
"BD23",30122,13354,29,1
"BD24",5269,9545,24,1
"BD3",36000,41915,49,7
"BD4",32572,31207,36,3
"BD5",32058,21478,16,3
"BD6",31088,20988,26,2
"BD7",36192,56425,81,6
"BD8",34150,81254,58,10
"BD9",31539,22414,37,2
"BH1",23696,28015,59,2
"BH10",20924,34683,41,2
"BH11",20871,9596,18,1
"BH12",36169,18108,25,2
"BH14",25208,65753,77,2
"BH15",35656,49995,76,4
"BH17",23043,22025,28,2
"BH18",11940,32225,45,2
"BH19",11168,10877,23,1
"BH20",20325,22982,45,5
"BH21",42651,36889,61,4
"BH22",27642,30069,43,4
"BH23",55303,60331,104,6
"BH24",24892,23176,39,2
"BH25",25637,33465,50,1
"BH31",13654,8175,15,1
