"CODE","NAME","POSTCODE","NUMBER_OF_PRACTITIONERS","NUMBER_OF_PATIENTS","latitude","longitude"
"A84002","THE ROTHBURY PRACTICE","NE65 7UW",12,5988,55.309091,-1.91181
"A84005","BEDLINGTONSHIRE MED.GROUP","NE22 6JX",17,12170,55.1322,-1.598682
"A84006","ALNWICK MEDICAL GROUP","NE66 2NL",21,18873,55.410077,-1.6967
"A84007","PONTELAND MEDICAL GROUP","NE20 9SD",21,10530,55.051757,-1.750046
"A84008","BELFORD MEDICAL PRACTICE","NE70 7ER",10,4477,55.595957,-1.826104
"A84009","RAILWAY MEDICAL GROUP","NE24 1HD",45,26641,55.128814,-1.514234
"A84011","WHITE MEDICAL GROUP","NE20 9SD",14,8060,55.051757,-1.750046
"A84013","THE GABLES MEDICAL GROUP","NE22 7DU",19,6232,55.140811,-1.564429
"A84014","MARINE MEDICAL GROUP","NE24 1DX",19,12725,55.127873,-1.514936
"A84016","PRUDHOE MEDICAL GROUP","NE42 5PW",15,6932,54.961947,-1.853348
"A84018","CORBRIDGE HEALTH CENTRE","NE45 5LG",13,7007,54.973862,-2.012702
"A84020","GUIDEPOST MEDICAL GROUP","NE62 5RA",20,8051,55.157579,-1.604109
"A84022","COQUET MEDICAL GROUP","NE65 0HD",19,11959,55.332599,-1.580504
"A84024","BURN BRAE MEDICAL GROUP","NE46 1QJ",15,10045,54.970372,-2.095812
"A84025","CRAMLINGTON MEDICAL GROUP","NE23 6QN",17,4989,55.084481,-1.591516
"A84027","BELLINGHAM PRACTICE","NE48 2HE",8,3417,55.14384,-2.257998
"A84028","SEATON PARK MEDICAL GROUP","NE63 0NG",30,18925,55.171195,-1.561193
"A84029","NORTHUMBERLAND HEALTH","NE61 5LX",8,2706,55.240248,-1.62051
"A84030","VILLAGE MEDICAL GROUP","NE23 6US",21,9736,55.084727,-1.58708
"A84031","GREYSTOKE SURGERY","NE61 1JX",15,10104,55.171694,-1.683424
"A84032","CHEVIOT MEDICAL GROUP","NE71 6BL",4,2372,55.546525,-2.01842
"A84033","THE SELE MEDICAL PRACTICE","NE46 1QJ",10,5893,54.970372,-2.095812
"A84034","HALTWHISTLE MEDICAL GROUP","NE49 9AP",14,5589,54.970071,-2.46484
"A84035","RIVERSDALE SURGERY","NE42 5DQ",13,6073,54.961364,-1.845609
"A84036","VALENS MEDICAL PARTNERSHIP","NE61 1BJ",61,51871,55.169477,-1.689718
"A84037","NETHERFIELD HOUSE","NE23 7EF",9,6026,55.063632,-1.548435
"A84038","FORUM FAMILY PRACTICE","NE23 6QN",8,6932,55.084481,-1.591516
"A84039","GAS HOUSE LANE SURGERY","NE61 1JX",12,5976,55.171694,-1.683424
"A84040","HUMSHAUGH & WARK MED GRP","NE46 4BU",11,3665,55.036036,-2.125343
"A84042","SCOTS GAP MEDICAL GROUP","NE61 4EG",6,2131,55.172746,-1.940563
"A84045","HAYDON BRIDGE & ALLENDALE MEDICAL PRACT","NE47 6LA",13,5409,54.975681,-2.250059
"A84047","BRANCH END SURGERY","NE43 7LL",9,5400,54.947131,-1.897791
"A84604","WOOLER HEALTH","NE71 6BL",11,2291,55.546525,-2.01842
"A84609","FELTON SURGERY","NE65 9PR",9,1730,55.298652,-1.7113
"A84614","THE ADDERLANE SURGERY","NE42 5HR",3,1957,54.962605,-1.845745
"A84619","ELSDON AVENUE SURGERY","NE25 0BW",6,3932,55.07062,-1.525885
"A88001","VICTORIA MEDICAL CENTRE","NE31 1NU",5,3573,54.97392,-1.521757
"A88002","FARNHAM MEDICAL CTR.","NE33 4QY",16,17281,54.975577,-1.438064
"A88003","MARSDEN MEDICAL GROUP","NE34 6RE",30,14145,54.980464,-1.400136
"A88004","MAYFIELD MEDICAL GROUP","NE32 5SE",11,9269,54.977881,-1.496449
"A88005","WENLOCK ROAD SURGERY","NE34 9BP",4,4497,54.972635,-1.455226
"A88006","TALBOT MEDICAL CENTRE","NE34 0BX",11,7895,54.972932,-1.441738
"A88007","WAWN STREET SURGERY","NE33 4DX",11,7813,54.987233,-1.426712
"A88008","TRINITY MEDICAL CENTRE","NE33 5DU",10,6491,54.987693,-1.436785
"A88009","DR THORNILEY-WALKER & PARTNERS","NE35 9AN",8,6389,54.949762,-1.460703
"A88010","ALBERT ROAD SURGERY","NE32 5AG",8,2999,54.978067,-1.491494
"A88012","ELLISON VIEW SURGERY","NE31 2SP",11,6426,54.973433,-1.507378
"A88013","CENTRAL SURGERY","NE34 8PS",23,19508,54.971291,-1.415301
"A88014","WEST VIEW SURGERY","NE33 4JP",5,2797,54.984988,-1.431179
"A88015","ST GEORGE & RIVERSIDE MEDICAL PRACTICE","NE33 5DU",11,6907,54.987693,-1.436785
"A88016","COLLIERY COURT MEDICAL GROUP","NE35 9AN",12,8109,54.949762,-1.460703
"A88022","THE GLEN MEDICAL GROUP","NE31 1NU",12,10646,54.97392,-1.521757
"A88023","WHITBURN SURGERY","SR6 7EE",6,5320,54.952795,-1.364667
"A88025","THE G.P.SUITE","NE32 3UX",5,4773,54.980657,-1.491977
"A88601","IMEARY MEDICAL GROUP","NE33 4EG",3,3900,54.98753,-1.424863
"A88608","RAVENSWORTH SURGERY","NE33 3ET",6,5892,54.988381,-1.420585
"A88613","EAST WING PRACTICE","NE32 3UX",7,4083,54.980657,-1.491977
"A89001","DEERNESS PARK MEDICAL GROUP","SR2 8AD",28,13422,54.899942,-1.37275
"A89002","RIVERVIEW SURGERY","SR1 2HJ",6,6582,54.905516,-1.37324
"A89004","HETTON GROUP PRACTICE","DH5 9EZ",22,11588,54.825347,-1.449116
"A89005","VILLETTE SURGERY","SR2 8AX",5,5513,54.897475,-1.368436
"A89006","WEARSIDE MEDICAL PRACTICE - PALLION","SR4 7XF",9,7748,54.908604,-1.414195
"A89007","PALLION FAMILY PRACTICE","SR4 7XF",12,10263,54.908604,-1.414195
"A89008","RED HOUSE MEDICAL CENTRE","SR5 5PS",9,5197,54.925457,-1.424063
"A89009","HERRINGTON MEDICAL CENTRE","DH4 4LE",14,9069,54.865685,-1.483326
"A89010","THE STEPHENSON MEDICAL PRACTICE","NE37 2PU",20,12461,54.913411,-1.524864
"A89011","VILLAGE SURGERY PARTNERSHIP","SR3 2AN",12,4457,54.870954,-1.407217
"A89012","GALLERIES MEDICAL PRACTICE","NE38 7NQ",16,10909,54.898814,-1.531242
