"Postcode_Area","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries","Area_Name","Population_to_Practitioners","Population_to_Surgeries"
"AL",266475,287130,411,21,"St Albans",648.357664233577,12689.2857142857
"B",2026571,2242097,2998,270,"Birmingham",675.974316210807,7505.81851851852
"BA",466274,485947,749,45,"Bath",622.52870493992,10361.6444444444
"BB",516383,553354,584,68,"Blackburn",884.217465753425,7593.86764705882
"BD",605269,642254,937,65,"Bradford",645.964781216649,9311.83076923077
"BH",578617,628289,1005,53,"Bournemouth",575.738308457711,10917.3018867925
"BL",403601,450176,592,63,"Bolton",681.758445945946,6406.36507936508
"BN",838723,915394,1285,79,"Brighton",652.702723735409,10616.746835443
"BR",319234,365823,525,43,"Bromley",608.064761904762,7424.04651162791
"BS",1033005,1124497,1951,87,"Bristol",529.474628395694,11873.6206896552
"CA",319675,328698,514,35,"Carlisle",621.93579766537,9133.57142857143
"CB",463822,539916,895,48,"Cambridge",518.23687150838,9662.95833333333
"CH",676973,549873,877,71,"Chester",771.919042189282,9534.83098591549
"CM",707666,739898,951,70,"Chelmsford",744.128286014721,10109.5142857143
"CO",448089,476483,590,43,"Colchester",759.472881355932,10420.6744186047
"CR",439490,458477,660,51,"Croydon",665.893939393939,8617.45098039216
"CT",501887,542001,676,48,"Canterbury",742.436390532544,10455.9791666667
"CV",899181,975604,1228,109,"Coventry",732.232084690554,8249.36697247706
"CW",342254,367057,465,36,"Crewe",736.030107526882,9507.05555555555
"DA",469214,489040,528,42,"Dartford",888.662878787879,11171.7619047619
"DE",774229,851012,1217,84,"Derby",636.178307313065,9217.0119047619
"DH",320953,335588,507,36,"Durham",633.043392504931,8915.36111111111
"DL",363985,371423,638,43,"Darlington",570.509404388715,8464.76744186047
"DN",768723,807086,1027,94,"Doncaster",748.513145082765,8177.90425531915
"DT",221019,245975,379,24,"Dorchester",583.163588390501,9209.125
"DY",429559,460251,617,53,"Dudley",696.205834683955,8104.88679245283
"E",1117915,1347640,1671,145,"East London",669.009575104728,7709.75862068965
"EC",37264,38297,67,4,"East Central London",556.179104477612,9316
"EN",365585,301266,412,31,"Enfield",887.342233009709,11793.064516129
"EX",599921,626048,1200,64,"Exeter",499.934166666667,9373.765625
"FY",279731,309632,356,34,"Blackpool",785.761235955056,8227.38235294118
"GL",653953,678433,1153,73,"Gloucester",567.175195143105,8958.2602739726
"GU",767867,810008,1288,72,"Guildford",596.170031055901,10664.8194444444
"HA",531124,652228,765,79,"Harrow",694.279738562092,6723.08860759494
"HD",266048,282203,379,44,"Huddersfield",701.973614775726,6046.54545454545
"HG",141129,150088,264,15,"Harrogate",534.579545454545,9408.6
"HP",533352,558201,827,48,"Hemel Hempstead",644.923821039903,11111.5
"HR",179733,185833,311,17,"Hereford",577.91961414791,10572.5294117647
"HU",455808,491980,668,48,"Hull",682.347305389222,9496
"HX",163450,176923,201,15,"Halifax",813.18407960199,10896.6666666667
"IG",378322,408881,400,50,"Ilford",945.805,7566.44
"IP",629123,640351,939,60,"Ipswich",669.992545260916,10485.3833333333
"KT",561706,631341,1014,61,"Kingston upon Thames",553.950690335306,9208.29508196721
"L",892424,973936,1391,152,"Liverpool",641.570093457944,5871.21052631579
